"Site","Date","spat_year","alive_nb","dead_nb","init_nb","Batch","site_spat","Specie","Support","Operator","Comments","Campaign","MR"
"Agon",2021-10-10,2021,188,0,188,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Agon",2022-01-04,2021,180,8,188,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Agon",2022-02-01,2021,180,0,188,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Agon",2022-03-02,2021,175,3,188,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Agon",2022-05-17,2021,166,6,188,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Agon",2022-06-15,2021,160,2,188,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Agon",2022-07-13,2021,158,2,188,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Agon",2022-08-10,2021,155,3,188,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Agon",2022-09-12,2021,148,5,188,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Agon",2022-10-10,2021,143,3,188,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Agon",2022-11-12,2021,140,0,188,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Agon",2022-12-06,2021,140,0,188,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Aiguillon",2021-10-10,2021,200,0,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Aiguillon",2022-01-05,2021,190,10,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Aiguillon",2022-02-02,2021,187,3,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Aiguillon",2022-03-01,2021,172,15,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Aiguillon",2022-04-21,2021,172,0,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Aiguillon",2022-05-17,2021,170,2,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Aiguillon",2022-06-14,2021,159,11,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Aiguillon",2022-08-30,2021,158,1,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Aiguillon",2022-09-15,2021,158,0,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Aiguillon",2022-10-12,2021,158,0,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Aiguillon",2022-11-10,2021,157,1,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Aiguillon",2022-12-07,2021,155,2,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Boyard",2021-10-10,2021,200,0,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Boyard",2022-01-06,2021,197,3,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Boyard",2022-02-02,2021,191,6,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Boyard",2022-03-03,2021,182,9,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Boyard",2022-04-19,2021,174,8,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Boyard",2022-05-17,2021,162,12,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Boyard",2022-06-14,2021,162,0,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Boyard",2022-07-05,2021,154,8,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Boyard",2022-08-11,2021,144,10,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
