"Campaign","id_site","DOY","MM","MI","alpha"
"2018","23",261,0.682,58,0.00300492610837438
"2019","23",261,0.773,-48,0.00224919093851133
"2016","22",261,0.547,75,0.00263978494623656
"2017","22",261,0.69,34,0.00273127753303965
"2018","22",261,0.516,72,0.00244973544973545
"2019","22",261,0.608,15,0.00221951219512195
"2020","22",261,0.615,-28,0.00191349480968858
"2021","22",261,0.577,63,0.0026010101010101
"2022","22",261,0.522,-29,0.00161724137931035
"2017","21",261,0.478,-13,0.00156204379562044
"2019","21",261,0.411,38,0.00165470852017937
"2020","21",261,0.403,-13,0.00132116788321168
"2021","21",261,0.146,-88,0.000375358166189112
"2022","21",261,0.174,-35,0.000527027027027027
"2016","20",261,0.687,28,0.00265236051502146
"2017","20",261,0.369,78,0.00180874316939891
"2018","20",261,0.496,18,0.00183127572016461
"2019","20",261,0.45,7,0.00159055118110236
"2020","20",261,0.686,-45,0.00201307189542484
"2021","20",261,0.271,57,0.00119117647058824
"2022","20",261,0.427,-15,0.00138768115942029
"2016","19",261,0.025,91,0.000129411764705882
"2017","19",261,0.203,18,0.000748971193415638
"2018","19",261,0.153,-83,0.000398255813953488
"2019","19",261,0.175,-51,5e-04
"2020","19",261,0.375,-28,0.00116262975778547
"2021","19",261,0.077,-80,0.000202346041055719
"2022","19",261,0.165,-17,0.000528776978417266
"2016","18",261,0.206,81,0.00102222222222222
"2017","18",261,0.18,44,0.000737327188940092
"2018","18",261,0.03,181,3e-04
"2019","18",261,0.218,-20,0.000693950177935943
"2020","18",261,0.629,-29,0.00194827586206897
"2021","18",261,0.095,-54,0.00026984126984127
"2022","18",261,0.213,-122,0.000381201044386423
"2016","17",261,0.173,121,0.00110714285714286
"2017","17",261,0.196,27,0.000752136752136752
"2018","17",261,0.217,-56,0.00061198738170347
"2019","17",261,0.184,56,8e-04
"2020","17",261,0.545,11,0.001956
"2021","17",261,0.06,9,0.00021031746031746
"2022","17",261,0.159,-39,0.000473333333333333
"2016","15",261,0.14,77,0.000679347826086957
"2017","15",261,0.315,34,0.00124669603524229
"2018","15",261,0.158,-35,0.000476351351351351
"2019","15",261,0.151,-49,0.000435483870967742
"2020","15",261,0.248,-2,0.000844106463878327
"2021","15",261,0.234,-76,0.000620178041543027
"2022","15",261,0.202,-12,0.000663003663003663
"2005","9",261,0.206,53,0.000889423076923077
"2006","9",261,0.232,102,0.00129559748427673
"2007","9",261,0.456,40,0.00184615384615385
"2009","9",261,0.458,-28,0.00140484429065744
"2010","9",261,0.14,91,0.000735294117647059
"2011","9",261,0.204,41,0.000822727272727273
"2012","9",261,0.337,-98,0.000841225626740947
"2013","9",261,0.964,149,0.00773214285714285
"2014","10",261,0.327,34,0.00129074889867841
"2014","9",261,0.315,52,0.00134928229665072
"2015","10",261,0.678,66,0.00312307692307692
"2015","9",261,0.352,75,0.0016989247311828
"2016","10",261,0.499,-29,0.0015448275862069
"2016","9",261,0.668,-108,0.0016260162601626
"2017","10",261,0.316,-65,0.000868098159509203
"2017","9",261,0.325,64,0.00147715736040609
"2018","10",261,0.528,-18,0.0016989247311828
"2018","9",261,0.259,24,0.000978902953586498
"2019","10",261,0.299,39,0.00120720720720721
"2019","9",261,0.649,62,0.00292964824120603
"2020","10",261,0.268,-6,0.000898876404494382
"2020","9",261,0.391,-114,0.000933333333333333
"2021","10",261,0.37,42,0.00151598173515982
"2021","9",261,0.333,17,0.0012172131147541
"2022","10",261,0.156,-61,0.00043167701863354
"2022","9",261,0.26,4,0.000902723735408561
"2014","37",261,0.979,81,0.00487222222222222
"2015","37",261,0.256,-14,0.000836363636363636
"2016","37",261,0.82,35,0.00325221238938053
