year;location;latitude;longitude;day;alive_nb;dead_nb;cum_morta
2022;Agon;48,993;-1,598;10/10/2021;188;0;0
2022;Agon;48,993;-1,598;04/01/2022;180;8;4,255319149
2022;Agon;48,993;-1,598;01/02/2022;180;0;4,255319149
2022;Agon;48,993;-1,598;02/03/2022;175;3;5,868993545
2022;Agon;48,993;-1,598;17/05/2022;166;6;9,152633305
2022;Agon;48,993;-1,598;15/06/2022;160;2;10,27420573
2022;Agon;48,993;-1,598;13/07/2022;158;2;11,39577816
2022;Agon;48,993;-1,598;10/08/2022;155;3;13,0781368
2022;Agon;48,993;-1,598;12/09/2022;148;5;15,91872057
2022;Agon;48,993;-1,598;10/10/2022;143;3;17,64641809
2022;Agon;48,993;-1,598;12/11/2022;140;0;17,64641809
2022;Agon;48,993;-1,598;06/12/2022;140;0;17,64641809
2022;Aiguillon;46,263;-1,221;10/10/2021;200;0;0
2022;Aiguillon;46,263;-1,221;05/01/2022;190;10;5
2022;Aiguillon;46,263;-1,221;02/02/2022;187;3;6,5
2022;Aiguillon;46,263;-1,221;01/03/2022;172;15;14
2022;Aiguillon;46,263;-1,221;21/04/2022;172;0;14
2022;Aiguillon;46,263;-1,221;17/05/2022;170;2;15
2022;Aiguillon;46,263;-1,221;14/06/2022;159;11;20,5
2022;Aiguillon;46,263;-1,221;30/08/2022;158;1;21
2022;Aiguillon;46,263;-1,221;15/09/2022;158;0;21
2022;Aiguillon;46,263;-1,221;12/10/2022;158;0;21
2022;Aiguillon;46,263;-1,221;10/11/2022;157;1;21,5
2022;Aiguillon;46,263;-1,221;07/12/2022;155;2;22,5
2022;Boyard;45,572;-1,131;10/10/2021;200;0;0
2022;Boyard;45,572;-1,131;06/01/2022;197;3;1,5
2022;Boyard;45,572;-1,131;02/02/2022;191;6;4,5
2022;Boyard;45,572;-1,131;03/03/2022;182;9;9
2022;Boyard;45,572;-1,131;19/04/2022;174;8;13
2022;Boyard;45,572;-1,131;17/05/2022;162;12;19
2022;Boyard;45,572;-1,131;14/06/2022;162;0;19
2022;Boyard;45,572;-1,131;05/07/2022;154;8;23
2022;Boyard;45,572;-1,131;11/08/2022;144;10;28
2022;Boyard;45,572;-1,131;12/09/2022;142;2;29
2022;Boyard;45,572;-1,131;11/10/2022;135;7;32,5
2022;Boyard;45,572;-1,131;08/11/2022;131;4;34,5
2022;Pont_Mahe;47,438;-2,476;10/10/2021;200;0;0
2022;Pont_Mahe;47,438;-2,476;19/01/2022;200;0;0
2022;Pont_Mahe;47,438;-2,476;03/02/2022;200;0;0
2022;Pont_Mahe;47,438;-2,476;04/03/2022;200;0;0
2022;Pont_Mahe;47,438;-2,476;04/04/2022;195;5;2,5
2022;Pont_Mahe;47,438;-2,476;03/05/2022;191;3;4,007731959
2022;Pont_Mahe;47,438;-2,476;16/06/2022;187;4;6,018041237
2022;Pont_Mahe;47,438;-2,476;01/07/2022;186;1;6,520618557
2022;Pont_Mahe;47,438;-2,476;01/08/2022;182;3;8,036500418
2022;Pont_Mahe;47,438;-2,476;13/09/2022;181;1;8,541794372
2022;Pont_Mahe;47,438;-2,476;10/10/2022;174;7;12,07885205
2022;Vivier;48,648;-1,722;10/10/2021;185;0;0
