Date du comptage;Année de naissance;Site d'observation;Nom du professionnel;Espèce observée;Origine du naissain;Numéro de lanterne;Numero de plateau sur la lanterne;Numéro de panier;Lot pour traitement;Nombre de vivantes comptées;Nombres de mortes ou moribondes comptées;Nombre de moules au départ;Date arrivée sur parc;Type de lot pour Jean-Yvon;
Date;AnneeNais;Site;Nom;Espece;Origine;Lanterne;Plateau;Panier;Lot;NbVivantes;NbMortes;NbInit;DateArr;Type;Commentaire
03/10/2019;2019;5- La Fresnay;Anonymous_1;Edulis;penestin;NA;NA;1;Lot 1;100;0;100;NA;Edulis ref;
03/10/2019;2019;5- La Fresnay;Anonymous_1;Edulis;penestin;NA;NA;2;Lot 2;100;0;100;NA;Edulis ref;
01/11/2019;2019;5- La Fresnay;Anonymous_1;Edulis;penestin;NA;NA;1;Lot 1;100;0;100;NA;Edulis ref;
28/11/2019;2019;5- La Fresnay;Anonymous_1;Edulis;penestin;NA;NA;1;Lot 1;95;5;100;NA;Edulis ref;
28/11/2019;2019;5- La Fresnay;Anonymous_1;Edulis;penestin;NA;NA;2;Lot 2;95;5;100;NA;Edulis ref;
17/01/2020;2019;5- La Fresnay;Anonymous_1;Edulis;penestin;NA;NA;1;Lot 1;88;12;100;NA;Edulis ref;
17/01/2020;2019;5- La Fresnay;Anonymous_1;Edulis;penestin;NA;NA;2;Lot 2;92;8;100;NA;Edulis ref;
29/01/2020;2019;5- La Fresnay;Anonymous_1;Edulis;penestin;NA;NA;2;Lot 2;90;10;100;NA;Edulis ref;
29/01/2020;2019;5- La Fresnay;Anonymous_1;Edulis;penestin;NA;NA;1;Lot 1;77;23;100;NA;Edulis ref;
22/02/2020;2019;5- La Fresnay;Anonymous_1;Edulis;penestin;NA;NA;2;Lot 2;81;19;100;NA;Edulis ref;
22/02/2020;2019;5- La Fresnay;Anonymous_1;Edulis;penestin;NA;NA;1;Lot 1;71;29;100;NA;Edulis ref;
27/03/2020;2019;5- La Fresnay;Anonymous_1;Edulis;penestin;NA;NA;2;Lot 2;70;30;100;NA;Edulis ref;
27/03/2020;2019;5- La Fresnay;Anonymous_1;Edulis;penestin;NA;NA;1;Lot 1;73;27;100;NA;Edulis ref;
07/04/2020;2019;5- La Fresnay;Anonymous_1;Edulis;penestin;NA;NA;2;Lot 2;67;33;100;NA;Edulis ref;
23/04/2020;2019;5- La Fresnay;Anonymous_1;Edulis;penestin;NA;NA;1;Lot 1;60;40;100;NA;Edulis ref;
23/04/2020;2019;5- La Fresnay;Anonymous_1;Edulis;penestin;NA;NA;2;Lot 2;69;31;100;NA;Edulis ref;
