Site;Poche;Date;Nb_vivantes;Nb_mortes_naturelles ;Nb_mortes_prédation ;Campagne;Commentaires
Berck;1;11/12/2019;104;5;0;2020;NA
Berck;1;15/01/2020;104;0;0;2020;NA
Berck;1;13/02/2020;103;1;0;2020;NA
Berck;1;13/03/2020;97;6;0;2020;NA
Berck;1;09/04/2020;92;5;0;2020;NA
Berck;1;05/05/2020;64;28;0;2020;NA
Berck;1;04/06/2020;51;12;0;2020;NA
Berck;1;22/07/2020;44;7;0;2020;NA
Berck;1;18/08/2020;38;6;0;2020;NA
Berck;1;18/09/2020;30;8;0;2020;NA
Berck;1;13/11/2020;22;8;0;2020;NA
Berck;1;11/12/2020;21;1;0;2020;NA
Baie de Somme;1;11/12/2019;91;5;0;2020;NA
Baie de Somme;1;15/01/2020;74;17;0;2020;NA
Baie de Somme;1;13/02/2020;62;12;0;2020;NA
Baie de Somme;1;13/03/2020;57;5;0;2020;NA
Baie de Somme;1;09/04/2020;44;13;0;2020;NA
Baie de Somme;1;05/05/2020;26;18;0;2020;NA
Baie de Somme;1;04/06/2020;20;6;0;2020;NA
Baie de Somme;1;22/07/2020;14;6;0;2020;NA
Baie de Somme;1;18/08/2020;12;2;0;2020;NA
Baie de Somme;1;18/09/2020;8;4;0;2020;NA
Baie de Somme;1;13/11/2020;6;2;0;2020;NA
Baie de Somme;1;11/12/2020;3;3;0;2020;NA
Baie de Somme;2;13/02/2020;95;5;0;2020;NA
Baie de Somme;2;13/03/2020;94;1;0;2020;NA
Baie de Somme;2;09/04/2020;88;6;0;2020;NA
Baie de Somme;2;05/05/2020;55;33;0;2020;NA
Baie de Somme;2;04/06/2020;43;12;0;2020;NA
Baie de Somme;2;22/07/2020;22;21;0;2020;NA
Baie de Somme;2;18/08/2020;21;1;0;2020;NA
Baie de Somme;2;18/09/2020;13;8;0;2020;NA
Baie de Somme;2;13/11/2020;11;2;0;2020;NA
Baie de Somme;2;11/12/2020;8;3;0;2020;NA
Dannes;1;12/12/2019;NA;NA;NA;2020;Plus de poches
Dannes;1;13/01/2020;NA;NA;NA;2020;Plus de poches
Dannes;1;21/01/2020;NA;NA;NA;2020;Remise en place de poches avec moules de berck
Dannes;1;11/02/2020;92;8;0;2020;NA
Dannes;1;11/03/2020;82;10;0;2020;NA
Dannes;1;07/04/2020;61;15;0;2020;NA
Dannes;1;05/05/2020;54;12;0;2020;NA
Dannes;1;04/06/2020;50;4;0;2020;NA
Dannes;1;22/07/2020;35;15;0;2020;NA
Dannes;1;18/08/2020;28;7;0;2020;NA
Dannes;1;19/09/2020;23;5;0;2020;NA
Dannes;1;12/11/2020;19;4;0;2020;NA
Dannes;1;10/12/2020;14;5;0;2020;NA
Dannes;2;05/05/2020;123;26;0;2020;NA
Dannes;2;04/06/2020;111;12;0;2020;NA
Dannes;2;22/07/2020;59;52;0;2020;NA
Dannes;2;18/08/2020;41;18;0;2020;NA
Dannes;2;19/09/2020;37;4;0;2020;NA
Dannes;2;12/11/2020;26;11;0;2020;NA
Dannes;2;10/12/2020;22;4;0;2020;NA
Gris_Nez;1;12/12/2019;97;2;0;2020;NA
Gris_Nez;1;13/01/2020;75;23;0;2020;NA
Gris_Nez;1;11/02/2020;69;6;0;2020;NA
Gris_Nez;1;11/03/2020;56;13;0;2020;NA
Gris_Nez;1;07/04/2020;51;5;0;2020;NA
Gris_Nez;1;05/05/2020;43;6;0;2020;NA
Gris_Nez;1;04/06/2020;33;10;0;2020;NA
Gris_Nez;1;24/07/2020;27;6;0;2020;NA
Gris_Nez;1;17/07/2020;NA;NA;NA;2020;Plus de poches
Gris_Nez;2;04/06/2020;69;16;0;2020;NA
Gris_Nez;2;24/07/2020;53;16;0;2020;NA
Gris_Nez;2;17/08/2020;NA;NA;NA;2020;Plus de poches
Oye_plage;1;12/12/2019;90;6;0;2020;NA
Oye_plage;1;14/01/2020;67;25;0;2020;NA
Oye_plage;1;12/02/2020;64;3;0;2020;NA
Oye_plage;1;12/03/2020;31;33;0;2020;NA
Oye_plage;1;08/04/2020;27;4;0;2020;NA
Oye_plage;1;06/05/2020;13;11;0;2020;NA
Oye_plage;1;05/06/2020;9;4;0;2020;NA
Oye_plage;1;24/07/2020;7;2;0;2020;NA
Oye_plage;1;17/08/2020;5;2;0;2020;NA
Oye_plage;2;08/04/2020;93;5;0;2020;NA
Oye_plage;2;06/05/2020;53;40;0;2020;NA
Oye_plage;2;05/06/2020;20;33;0;2020;NA
Oye_plage;2;24/07/2020;8;12;0;2020;NA
Oye_plage;2;17/08/2020;5;3;0;2020;NA
Oye_plage;1;16/12/2020;NA;NA;NA;2021;Mise en place
Oye_plage;1;15/01/2021;201;1;0;2021;NA
Oye_plage;1;16/02/2021;200;1;0;2021;NA
Oye_plage;1;16/03/2021;200;0;0;2021;NA
Oye_plage;1;16/04/2021;195;5;0;2021;NA
Oye_plage;1;17/05/2021;185;10;0;2021;NA
Oye_plage;1;22/06/2021;136;50;0;2021;NA
Oye_plage;1;15/07/2021;108;28;0;2021;NA
Oye_plage;1;11/08/2021;95;17;0;2021;NA
Oye_plage;1;09/09/2021;83;11;0;2021;NA
Oye_plage;1;07/10/2021;79;2;0;2021;NA
Oye_plage;1;08/11/2021;NA;NA;NA;2021;Plus de poches
Gris_Nez;1;16/12/2020;NA;NA;NA;2021;Mise en place
Gris_Nez;1;14/01/2021;198;0;0;2021;NA
Gris_Nez;1;16/02/2021;197;1;0;2021;NA
Gris_Nez;1;16/03/2021;196;1;0;2021;NA
Gris_Nez;1;16/04/2021;200;3;0;2021;NA
Gris_Nez;1;17/05/2021;184;9;0;2021;NA
Gris_Nez;1;22/06/2021;167;17;0;2021;NA
Gris_Nez;1;15/07/2021;164;3;0;2021;NA
Gris_Nez;1;11/08/2021;160;4;0;2021;NA
Gris_Nez;1;09/09/2021;138;16;0;2021;NA
Gris_Nez;1;07/10/2021;129;12;0;2021;NA
Gris_Nez;1;08/11/2021;125;4;0;2021;NA
Gris_Nez;1;08/12/2021;122;3;0;2021;NA
Gris_Nez;1;06/01/2022;121;1;0;2021;NA
Dannes;1;16/12/2020;NA;NA;NA;2021;Mise en place
Dannes;1;14/01/2021;NA;NA;NA;2021;Plus de poches
Dannes;1;23/02/2021;200;0;0;2021;remise en place (200)
Dannes;1;15/03/2021;196;4;0;2021;NA
