Annee naissain;Secteur;Site;Visite;Dates;Nb de mortes;nb de vivantes
2004;Chausey;Roquette;To;27/09/2004;0;200
2004;Chausey;Huguenans;To;27/09/2004;0;200
2004;Cote ouest;Bricqueville;To;27/09/2004;0;200
2004;Cote ouest;Hauteville;To;27/09/2004;0;200
2004;Cote ouest;Agon;To;27/09/2004;0;200
2004;Cote ouest;Pirou nord;To;27/09/2004;0;200
2004;Cote est;Utah;To;27/09/2004;0;200
2004;Chausey;Roquette;V1;13/12/2004;1;199
2004;Chausey;Huguenans;V1;13/12/2004;3;197
2004;Cote ouest;Bricqueville;V1;13/12/2004;0;200
2004;Cote ouest;Hauteville;V1;13/12/2004;10;190
2004;Cote ouest;Agon;V1;15/12/2004;3;197
2004;Cote ouest;Pirou nord;V1;14/12/2004;0;200
2004;Cote est;Utah;V1;10/12/2004;3;197
2004;Chausey;Roquette;V2;09/02/2005;100;100
2004;Chausey;Huguenans;V2;09/02/2005;5;195
2004;Cote ouest;Bricqueville;V2;09/03/2005;0;200
2004;Cote ouest;Hauteville;V2;09/03/2005;16;184
2004;Cote ouest;Agon;V2;11/03/2005;6;194
2004;Cote ouest;Pirou nord;V2;10/03/2005;5;195
2004;Cote est;Utah;V2;09/03/2005;3;197
2004;Chausey;Roquette;V3;22/06/2005;113;87
2004;Chausey;Huguenans;V3;22/06/2005;28;172
2004;Cote ouest;Bricqueville;V3;23/06/2005;26;174
2004;Cote ouest;Hauteville;V3;23/06/2005;56;144
2004;Cote ouest;Agon;V3;24/06/2005;35;165
2004;Cote ouest;Pirou nord;V3;24/06/2005;50;150
2004;Cote est;Utah;V3;23/06/2005;28;172
2004;Chausey;Roquette;REF;19/09/2005;35;165
2004;Chausey;Huguenans;REF;19/09/2005;40;160
2004;Cote ouest;Bricqueville;REF;20/09/2005;40;160
2004;Cote ouest;Hauteville;REF;20/09/2005;68;132
2004;Cote ouest;Agon;REF;19/09/2005;41;159
2004;Cote ouest;Pirou nord;REF;20/09/2005;56;144
2004;Cote est;Utah;REF;16/09/2005;101;99
2005;Chausey;Roquette;To;04/10/2005;0;200
2005;Chausey;Huguenans;To;04/10/2005;0;200
2005;Cote ouest;Bricqueville;To;04/10/2005;0;200
2005;Cote ouest;Hauteville;To;04/10/2005;0;200
2005;Cote ouest;Agon;To;04/10/2005;0;200
2005;Cote ouest;Pirou nord;To;04/10/2005;0;200
2005;Cote est;Utah;To;04/10/2005;0;200
2005;Chausey;Roquette;V1;15/12/2005;1;199
2005;Chausey;Huguenans;V1;15/12/2005;3;197
2005;Cote ouest;Bricqueville;V1;01/12/2005;1;199
2005;Cote ouest;Hauteville;V1;01/12/2005;1;199
2005;Cote ouest;Agon;V1;15/12/2005;0;200
2005;Cote ouest;Pirou nord;V1;01/12/2005;0;200
2005;Cote est;Utah;V1;01/12/2005;1;199
2005;Chausey;Roquette;V2;27/02/2006;11;189
2005;Chausey;Huguenans;V2;27/02/2006;8;192
2005;Cote ouest;Bricqueville;V2;28/02/2006;5;195
2005;Cote ouest;Hauteville;V2;28/02/2006;13;187
2005;Cote ouest;Agon;V2;27/02/2006;6;194
2005;Cote ouest;Pirou nord;V2;28/02/2006;10;190
2005;Cote est;Utah;V2;01/03/2006;8;192
2005;Chausey;Roquette;V3;12/06/2006;8;192
2005;Chausey;Huguenans;V3;12/06/2006;8;192
2005;Cote ouest;Bricqueville;V3;14/06/2006;15;185
2005;Cote ouest;Hauteville;V3;14/06/2006;26;174
2005;Cote ouest;Agon;V3;12/06/2006;11;189
