Campagne;Site;Date;Mortalite;Total;Nbres mortes;Nbre vivantes;Annee
2016-2017;Kervoyal;03/10/2016;0;120;0;120;2016
2016-2017;Kervoyal;14/12/2016;0;120;0;120;2016
2016-2017;Kervoyal;27/03/2017;3.5;120;4.2;115.8;2017
2016-2017;Kervoyal;12/06/2017;16;120;19.2;100.8;2017
2016-2017;Kervoyal;07/09/2017;23;120;27.6;92.4;2017
2016-2017;Kervoyal;05/02/2018;36;120;43.2;76.8;2018
2016-2017;Le Halguen;03/10/2016;0;120;0;120;2016
2016-2017;Le Halguen;14/12/2016;0;120;0;120;2016
2016-2017;Le Halguen;27/03/2017;6;120;7.2;112.8;2017
2016-2017;Le Halguen;12/06/2017;16;120;19.2;100.8;2017
2016-2017;Le Halguen;07/09/2017;20;120;24;96;2017
2016-2017;Le Halguen;05/02/2018;NA;120;NA;NA;2018
2017-2018;Kervoyal;09/10/2017;0;200;0;200;2017
2017-2018;Kervoyal;05/02/2018;4;200;8;192;2018
2017-2018;Kervoyal;30/03/2018;4;200;8;192;2018
2017-2018;Kervoyal;17/07/2018;20.5;200;41;159;2018
2017-2018;Kervoyal;25/09/2018;27;200;54;146;2018
2017-2018;Kervoyal;07/01/2019;32.5;200;65;135;2019
2017-2018;Le Halguen;09/10/2017;0;200;0;200;2017
2017-2018;Le Halguen;05/02/2018;1.5;200;3;197;2018
2017-2018;Le Halguen;30/03/2018;8;200;16;184;2018
2017-2018;Le Halguen;17/07/2018;17.5;200;35;165;2018
2017-2018;Le Halguen;25/09/2018;26.5;200;53;147;2018
2017-2018;Le Halguen;07/01/2019;29;200;58;142;2019
2018-2019;Kervoyal;22/10/2018;0;100;0;100;2018
2018-2019;Kervoyal;07/01/2019;2.9;100;2.9;97.1;2019
2018-2019;Kervoyal;05/04/2019;5;100;5;95;2019
2018-2019;Kervoyal;17/06/2019;22;100;22;78;2019
2018-2019;Kervoyal;13/09/2019;34;100;34;66;2019
2018-2019;Kervoyal;26/02/2020;36;100;36;64;2020
2018-2019;Le Halguen;22/10/2018;0;100;0;100;2018
2018-2019;Le Halguen;07/01/2019;4;100;4;96;2019
2018-2019;Le Halguen;05/04/2019;15;100;15;85;2019
2018-2019;Le Halguen;17/06/2019;23;100;23;77;2019
2018-2019;Le Halguen;13/09/2019;31;100;31;69;2019
2018-2019;Le Halguen;26/02/2020;41;100;41;59;2020
2019-2020;Kervoyal;13/11/2019;0;100;0;100;2019
2019-2020;Kervoyal;25/02/2020;11;100;11;89;2020
2019-2020;Kervoyal;25/05/2020;33;100;33;67;2020
2019-2020;Kervoyal;02/09/2020;44;100;44;56;2020
2019-2020;Kervoyal;13/01/2021;45;100;45;55;2021
2019-2020;Le Halguen;13/11/2019;0;100;0;100;2019
2019-2020;Le Halguen;25/02/2020;7;100;7;93;2020
2019-2020;Le Halguen;25/05/2020;34;100;34;66;2020
2019-2020;Le Halguen;02/09/2020;46;100;46;54;2020
2019-2020;Le Halguen;18/03/2021;51;100;51;49;2021
2020-2021;Kervoyal;02/09/2020;0;100;0;100;2020
2020-2021;Kervoyal;13/01/2021;19;100;19;81;2021
2020-2021;Le Halguen;02/09/2020;0;100;0;100;2020
2020-2021;Le Halguen;18/03/2021;19;100;19;81;2021
2020-2021;Kervoyal;28/06/2021;24;100;24;76;2021
2020-2021;Le Halguen;28/06/2021;34;100;34;66;2021
2020-2021;Kervoyal;21/09/2021;33;100;33;67;2021
2020-2021;Le Halguen;21/09/2021;44;100;44;56;2021
2020-2021;Kervoyal;06/01/2022;34;100;34;66;2022
2020-2021;Le Halguen;06/01/2022;46;100;46;54;2022
2021-2022;Kervoyal;21/09/2021;0;100;0;100;2021
2021-2022;Le Halguen;21/09/2021;0;100;0;100;2021
2021-2022;Kervoyal;06/01/2022;4;100;4;96;2022
2021-2022;Le Halguen;06/01/2022;7;100;7;93;2022
2021-2022;Kervoyal;30/05/2022;14;100;14;86;2022
2021-2022;Le Halguen;30/05/2022;12;100;12;88;2022
2021-2022;Kervoyal;08/12/2022;26;100;26;74;2022
2021-2022;Le Halguen;08/12/2022;26;100;26;74;2022
2022-2023;Le Halguen;08/12/2022;0;100;0;100;2023
2022-2023;Kervoyal;08/12/2022;0;100;0;100;2023
2022-2023;Le Halguen;22/05/2023;8;100;8;92;2023
2022-2023;Kervoyal;22/05/2023;9;100;9;91;2023
2022-2023;Le Halguen;15/12/2023;20;100;20;80;2023
2022-2023;Kervoyal;15/12/2023;23;100;23;77;2023
