NOM;operateur;Y;X;id_site;Site
Oye_plage;Operator_3;51.002;2.002;1;Oye_plage
Tardinghen;Operator_3;50.876;1.614;2;Tardinghen
Gris_Nez;Operator_3;50.876;1.614;3;Gris_Nez
Dannes;Operator_3;50.596;1.570;4;Dannes
Berck;Operator_3;50.429;1.559;5;Berck
Baie de Somme;Operator_3;50.305;1.534;6;Baie_de_Somme
Utah;Operator_4;49.429;-1.177;7;Utah
Pirou nord;Operator_4;49.15;-1.613;8;Pirou
Agon;Operator_4;49.001;-1.603;9;Agon_1
Agon;Operator_1;48.993;-1.598;10;Agon_2
Hauteville;Operator_4;48.975;-1.566;11;Hauteville
Bricqueville;Operator_4;48.912;-1.577;12;Bricqueville
Roquette;Operator_4;48.877;-1.828;13;Chausey_Roquette
Huguenans;Operator_4;48.865;-1.834;14;Chausey_Huguenans
7- BMSM;Operator_2;48.681;-1.599;15;Baie_Mont_St_Michel
Vivier;Operator_1;48.648;-1.722;16;Vivier
6- Arguenon;Operator_2;48.604;-2.209;17;Baie_Arguenon
5- La Fresnay;Operator_2;48.633;-2.298;18;Baie_Fresnaye
4- Saint-Brieuc;Operator_2;48.573;-2.696;19;Baie_St_Brieuc
3- Lannion;Operator_2;48.714;-3.578;20;Baie_Lannion
2- Les abers;Operator_2;48.6;-4.554;21;Les_abers
1- Rade de Brest;Operator_2;48.306;-4.312;22;Rade_Brest
0- Camaret;Operator_2;48.277;-4.592;23;Camaret
Kervoyal;Operator_5;47.513;-2.549;24;Kervoyal
Le Halguen;Operator_5;47.497;-2.498;25;Le_Halguen
Pont_Mahe;Operator_1;47.438;-2.476;26;Pont-Mahe
La Plaine-sur-Mer;Operator_6;47.217;-2.224;27;Banc du Nord
La Northe;Operator_6;47.042;-2.033;28;La_Northe
Maison-Blanche;Operator_6;46.997;-2.202;29;Maison-Blanche_1
Maison_Blanche;Operator_1;46.996;-2.201;30;Maison-Blanche_2
Guérinière;Operator_6;46.955;-2.213;31;Gueriniere
Frandière;Operator_6;46.923;-2.177;32;Frandiere
L'Aiguillon;Operator_6;46.296;-1.313;33;Les Norois
Filiere;Operator_1;46.281;-1.37;34;Filiere_1
Filière;Operator_6;46.276;-1.360;35;Filiere_2
Pointe-de-l'aiguillon;Operator_6;46.270;-1.234;36;Pointe_Aiguillon
Aiguillon;Operator_1;46.263;-1.221;37;Aiguillon
Roulieres;Operator_1;46.201;-1.214;38;Rouliere
Yves;Operator_1;46.017;-1.06;39;Yves
Boyard;Operator_1;45.921;-1.197;40;Boyard
